Date;AdjustedPrice
2021-08-27;10,540498292289
2021-08-30;10,46124642543
2021-08-31;9,8668574239849
2021-09-01;9,8470444572701
2021-09-02;10,203677858137
2021-09-03;10,084800057848
2021-09-06;9,9262963241294
2021-09-07;10,401807525285
2021-09-08;9,9659222575591
2021-09-09;10,084800057848
2021-09-10;10,183864891422
2021-09-13;9,9262963241294
2021-09-14;9,8272314905553
2021-09-15;9,9857352242739
2021-09-16;10,243303791567
2021-09-17;10,005548190989
2021-09-20;8,7177053545248
2021-09-21;8,6780794210952
2021-09-22;9,0941517221066
2021-09-23;8,7177053545248
2021-09-24;8,69789238781
2021-09-27;8,4205108538024
2021-09-28;8,4205108538024
2021-09-29;8,69789238781
2021-09-30;8,2223811866541
2021-10-01;8,4006978870876
2021-10-04;7,7983836989568
2021-10-05;8,2620071200838
2021-10-06;7,9846255860762
2021-10-07;8,2223811866541
2021-10-08;7,9251866859317
2021-10-11;7,7825333255849
2021-10-12;7,8300844457005
2021-10-13;7,4972266048914
2021-10-14;7,3862739912883
2021-10-15;7,3941991779742
2021-10-18;7,6795058986678
2021-10-19;8,12331635308
2021-10-20;7,9648126193613
2021-10-21;7,7508325788412
2021-10-22;7,774608138899
2021-10-25;7,9251866859317
2021-10-26;8,4205108538024
2021-10-27;7,8617851924442
2021-10-28;7,8617851924442
2021-10-29;7,9093363125598
2021-11-01;8,0440644862206
2021-11-02;8,2223811866541
2021-11-03;8,4006978870876
2021-11-04;8,3412589869431
2021-11-05;8,0440644862206
2021-11-08;7,8697103791301
2021-11-09;7,9093363125598
2021-11-10;7,8459348190724
2021-11-11;8,1629422865096
2021-11-12;8,0242515195058
2021-11-15;7,885560752502
2021-11-16;7,5527029116929
2021-11-17;7,8697103791301
2021-11-18;7,6319547785522
2021-11-19;8,816770188099
2021-11-22;8,6384534876655
2021-11-23;8,3610719536579
2021-11-24;8,0836904196503
2021-11-25;8,2818200867986
2021-11-26;8,1827552532245
2021-11-29;8,579014587521
2021-11-30;8,5195756873765
2021-12-01;8,4403238205172
2021-12-02;8,3610719536579
2021-12-03;8,3808849203727
2021-12-06;7,9648126193613
2021-12-07;8,4205108538024
2021-12-08;8,7771442546693
2021-12-09;8,5592016208062
2021-12-10;8,6384534876655
2021-12-13;8,5592016208062
2021-12-14;8,3016330535134
2021-12-15;8,4006978870876
2021-12-16;8,8563961215286
2021-12-17;8,7573312879545
2021-12-20;9,1734035889659
2021-12-21;9,1535906222511
2021-12-22;9,1337776555363
2021-12-23;9,1535906222511
2021-12-24;9,1932165556807
2021-12-27;9,3319073226845
2021-12-28;9,4111591895439
2021-12-29;9,510224023118
2021-12-30;9,7281666569811
2021-12-31;9,6191953400496
2022-01-03;10,282929724996
2022-01-04;10,243303791567
2022-01-05;10,520685325574
2022-01-06;10,580124225719
2022-01-07;10,758440926152
2022-01-10;10,045174124418
2022-01-11;10,421620492
2022-01-12;10,798066859582
2022-01-13;10,976383560015
2022-01-14;11,313203994167
2022-01-17;11,03582246016
2022-01-18;11,07544839359
2022-01-19;11,907592995612
2022-01-20;12,125535629475
2022-01-21;11,927405962327
2022-01-24;11,511333661316
2022-01-25;11,471707727886
2022-01-26;11,808528162038
2022-01-27;12,264226396479
2022-01-28;12,402917163483
2022-01-31;11,867967062183
2022-02-01;11,927405962327
2022-02-02;12,482169030342
2022-02-03;12,442543096913
